date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:42	232836/232836	---MCZ	200	added ('OK')	text/html	etag:W/%22a4577d5a0ddf5bfd7fa71c06893f803b%22	https://jm.flowtrack.me/home.html	C:/My%20Web%20Sites/jm/jm.flowtrack.me/home.html	(from )
21:23:44	167018/167018	---MCZ	200	added ('OK')	text/html	etag:W/%2264be38c2db6d1c687cc2f5e1a3db23dd%22	https://jm.flowtrack.me/portfolio.html	C:/My%20Web%20Sites/jm/jm.flowtrack.me/portfolio.html	(from )
21:23:45	670/670	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224be3619429ce355b6d0ce2122b68b154%22	https://jm.flowtrack.me/robots.txt		(from )
21:23:46	4705/4705	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2013%20Apr%202023%2015:23:56%20GMT	https://jm.flowtrack.me/resources/assets/site/forms/crmco-page.js	C:/My%20Web%20Sites/jm/jm.flowtrack.me/resources/assets/site/forms/crmco-page.js	(from https://jm.flowtrack.me/home.html)
21:23:46	2286/2286	---M--	200	added ('OK')	image/png	etag:%226438182a-8ee%22	https://jm.flowtrack.me/assets/favicon.png	C:/My%20Web%20Sites/jm/jm.flowtrack.me/assets/favicon.png	(from https://jm.flowtrack.me/home.html)
21:23:47	9255/9255	---M--	200	added ('OK')	image/png	etag:%22704b5334328bbdc5d15e791add4de1c3%22	https://jm.flowtrack.me/assets/Group1j66_xkXCqtIE.png	C:/My%20Web%20Sites/jm/jm.flowtrack.me/assets/Group1j66_xkXCqtIE.png	(from https://jm.flowtrack.me/home.html)
21:23:48	1561/1561	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224be3619429ce355b6d0ce2122b68b154%22	https://jm.flowtrack.me/url(assets/Group166_eNAh1MpO.png	C:/My%20Web%20Sites/jm/jm.flowtrack.me/url(assets/Group166_eNAh1MpO.png	(from https://jm.flowtrack.me/home.html)
21:23:50	1561/1561	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224be3619429ce355b6d0ce2122b68b154%22	https://jm.flowtrack.me/url(assets/Group1j66_xkXCqtIE.png	C:/My%20Web%20Sites/jm/jm.flowtrack.me/url(assets/Group1j66_xkXCqtIE.png	(from https://jm.flowtrack.me/home.html)
21:23:57	18295/18295	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20Jan%202022%2001:01:01%20GMT	https://jm.flowtrack.me/assets/pexels-gl-ik-22553551_S0BOdWLD.jpg?width=420	C:/My%20Web%20Sites/jm/jm.flowtrack.me/assets/pexels-gl-ik-22553551_S0BOdWLDc4c2.jpg	(from https://jm.flowtrack.me/home.html)
21:24:01	30634/30634	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20Jan%202022%2001:01:01%20GMT	https://jm.flowtrack.me/assets/pexels-gl-ik-22553551_S0BOdWLD.jpg?width=576	C:/My%20Web%20Sites/jm/jm.flowtrack.me/assets/pexels-gl-ik-22553551_S0BOdWLD8af4.jpg	(from https://jm.flowtrack.me/home.html)
